trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.4139541748712741}",20,5,8.64339308270399,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.41024530225904404}",25,15,6.1689143008964935,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,0,-89.65159106249733,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.4029269495868858}",30,0,-155.4818667712072,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
102,False,"{'a': 0.5, 'e': 0.3993168767363899}",20,2,23.083713854971986,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3957391487712367}",20,8,7.459161622727407,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.392193475893505}",20,15,9.282940340959215,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,0,5.635392529536727,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3851971491677552}",35,21,7.093731750989416,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3817459286134471}",25,15,3.4054126656967902,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3783256296880768}",20,9,6.770660465011353,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3749359753455614}",20,11,14.523939070141406,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-21.51840147652504,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.36824750461366296}",20,4,-14.548881821996723,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.36494814645449375}",25,3,-55.22615574521773,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3616783492947233}",25,18,-33.172880724779105,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3584378482789939}",25,6,30.309203754486678,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3552263809249515}",25,0,-24.85914204387821,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.35204368710198464}",25,19,10.535052323102121,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.34888950901015336}",25,0,9.324322158261314,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.3457635911593078}",25,0,-55.62728347181294,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.3426656803483929}",25,0,21.670790404567082,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.3395955256449392}",20,7,-12.789534390176819,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.336552878364737}",20,13,14.144067594050176,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.33353749205169325}",30,13,-2.2873046312556427,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.3305491224578677}",25,9,29.143905887665774,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.3275875275236896}",20,2,4.737951805882769,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
